title,year_range,publisher,genre,characteristic,platform,no_players,metascore,user_avg
Call of Duty: Modern Warfare 2,2005-2010,Activision,FPS,Modern,Xbox360,1 to 18,94,6.4
Metal Gear Solid 4: Guns of the Patriots,2005-2010,Konami,Action Adventure,Stealth,PlayStation3,1 to 16,94,8.8
NCAA Football 2004,2000-2005,EA,Sports,Football,PlayStation2,1 to 8,94,8.7
God of War,2000-2005,SonyInteractiveEntertainment,Action Adventure,Fantasy,PlayStation2,1 Player,94,8.9
Star Wars: Knights of the Old Republic,2000-2005,LucasArts,Action RPG,Fantasy,Xbox,1 Player,94,9.0
Sid Meier's Civilization IV,2000-2005,2kGames,Strategy,Historic,PC,12  Online,94,8.3
Madden NFL 2004,2000-2005,EA,Sports,Football,GameCube,1 to 4,94,7.0
Virtua Fighter 4,2000-2005,Sega,Fighting,3D,PlayStation2,1 to 2,94,8.1
Super Mario 64,1995-2000,Nintendo,Platformer,3D,Nintendo64,1 Player,94,9.2
The Witcher 3: Wild Hunt,2010-2015,CDProjectRedStudio,Action RPG,Fantasy,PC,No Online Multiplayer,93,9.3
Burnout 3: Takedown,2000-2005,EA,Racing,Arcade,PlayStation2,1 to 16,93,9.0
Super Smash Bros. Brawl,2005-2010,Nintendo,Fighting,3D,Wii,1 to 4,93,8.9
Company of Heroes,2005-2010,THQ,Strategy,Historic,PC,8  Online,93,8.8
Gran Turismo 2,1995-2000,SonyInteractiveEntertainment,Racing,GT/Street,PlayStation,1 to 2,93,9.0
Tom Clancy's Splinter Cell Pandora Tomorrow,2000-2005,Ubisoft,Action Adventure,Stealth,Xbox,1 to 4,93,8.6
Grand Theft Auto: Chinatown Wars,2005-2010,RockstarGames,Action Adventure,Open-World,DS,not specified,93,8.2
Pac-Man Championship Edition DX,2005-2010,Bandai,Puzzle,2D,Xbox360,not specified,93,7.8
Street Fighter Alpha 3,1995-2000,Capcom,Fighting,2D,PlayStation,1 to 2,93,8.6
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,Xbox,1 to 4,93,7.9
Divinity: Original Sin II,2015-2020,LarianStudios,Action RPG,Fantasy,PC,Online Multiplayer,93,8.4
Unreal Tournament 2004,2000-2005,EpicGames,FPS,Sci-Fi,PC,1 to 32,93,8.8
BioShock Infinite,2010-2015,2kGames,FPS,Sci-Fi,Xbox360,No Online Multiplayer,93,8.5
Braid,2005-2010,NumberNoneInc,Platformer,2D,Xbox360,1 Player,93,8.5
God of War II,2005-2010,SonyInteractiveEntertainment,Action Adventure,Fantasy,PlayStation2,1 Player,93,8.9
Super Mario 3D World,2010-2015,Nintendo,Platformer,3D,WiiU,No Online Multiplayer,93,8.9
Starcraft II: Wings of Liberty,2005-2010,Blizzard,Strategy,Sci-Fi,PC,1 to 4,93,8.2
SSX,1995-2000,EA,Sports,Snowboarding,PlayStation2,1 to 2,93,8.4
Street Fighter IV,2005-2010,Capcom,Fighting,3D,Xbox360,2  Online,93,7.3
Minecraft,2005-2010,Mojang,Sandbox,Fantasy,PC,1 to 10,93,7.5
Persona 5,2015-2020,Atlus,JRPG,Modern,PlayStation4,No Online Multiplayer,93,9.1
Persona 4 Golden,2010-2015,Atlus,JRPG,Modern,PlayStationVita,1 to 40,93,9.2
SSX 3,2000-2005,EA,Sports,Snowboarding,PlayStation2,1 to 2,93,9.0
Tom Clancy's Splinter Cell,2000-2005,Ubisoft,Action Adventure,Stealth,Xbox,1 Player,93,8.6
Grand Theft Auto III,2000-2005,RockstarGames,Action Adventure,Open-World,PC,No Online Multiplayer,93,8.3
Quake III Arena,1995-2000,IdSoftware,FPS,Sci-Fi,Dreamcast,not specified,93,8.1
Homeworld,1995-2000,Relic,Strategy,Real-Time,PC,1 to 8,93,8.9
Okami,2005-2010,CloverStudio,Action Adventure,Fantasy,PlayStation2,1 Player,93,9.1
The Elder Scrolls IV: Oblivion,2005-2010,BethesdaSoftworks,Action RPG,Fantasy,PlayStation3,No Online Multiplayer,93,8.0
Fallout 3,2005-2010,BethesdaSoftworks,Action RPG,Modern,Xbox360,No Online Multiplayer,93,8.5
Gears of War 2,2005-2010,XboxGamesStudios,Action,Sci-Fi,Xbox360,1 to 2,93,7.7
SoulCalibur II,2000-2005,Bandai,Fighting,3D,GameCube,1 to 2,93,8.8
World Soccer Winning Eleven 6 International,2000-2005,Konami,Sports,Soccer,PlayStation2,1 to 8,93,8.4
NFL 2K3,2000-2005,Sega,Sports,Football,PlayStation2,1 to 2,93,7.4
Mass Effect 3,2010-2015,EA,Action RPG,Sci-Fi,Xbox360,1 to 4,93,5.9
Metal Gear Solid V: The Phantom Pain,2010-2015,Konami,Action Adventure,Open-World,PlayStation4,1 to 16,93,8.2
Skies of Arcadia,1995-2000,Sega,JRPG,Fantasy,Dreamcast,not specified,93,8.9
The Legend of Zelda: Skyward Sword,2010-2015,Nintendo,Action Adventure,Open-World,Wii,No Online Multiplayer,93,8.1
Mario Kart Super Circuit,2000-2005,Nintendo,Racing,Kart,GameBoyAdvance,1 to 2,93,8.2
Rock Band 3,2005-2010,MtvGames,Rhythm,Music,Xbox360,not specified,93,8.3
Viewtiful Joe,2000-2005,CloverStudio,Action,Beat-Em-Up,GameCube,1 Player,93,8.3
Test Drive Le Mans,1995-2000,Infogrames,Racing,GT/Street,Dreamcast,not specified,93,7.7
NBA 2K1,1995-2000,Sega,Sports,Basketball,Dreamcast,not specified,93,7.0
Castlevania: Symphony of the Night,1995-2000,Konami,Platformer,2D,PlayStation,1 Player,93,9.2
Star Wars: Knights of the Old Republic,2000-2005,LucasArts,Action RPG,Sci-Fi,PC,No Online Multiplayer,93,9.0
Virtua Fighter 4: Evolution,2000-2005,Sega,Fighting,3D,PlayStation2,1 to 2,93,8.9
Uncharted 4: A Thief's End,2015-2020,SonyInteractiveEntertainment,Action Adventure,Linear,PlayStation4,1 to 10,93,8.3
Braid,2005-2010,NumberNoneInc,Platformer,2D,PlayStation3,1 Player,93,7.8
Mass Effect 3,2010-2015,EA,Action RPG,Sci-Fi,PlayStation3,1 to 4,93,5.6
Paper Mario,2000-2005,Nintendo,Action RPG,Fantasy,Nintendo64,not specified,93,9.1
Wipeout XL,1995-2000,SonyInteractiveEntertainment,Racing,Sci-Fi,PlayStation,1 to 2,93,8.6
Grand Theft Auto: San Andreas,2000-2005,RockstarGames,Action Adventure,Open-World,Xbox,1 to 2,93,8.7
INSIDE,2015-2020,PLAYDEAD,Platformer,2D,XboxOne,not specified,93,8.2
World of Warcraft,2000-2005,Blizzard,MMORPG,Fantasy,PC,Massively Multiplayer,93,7.3
Grand Theft Auto: San Andreas,2000-2005,RockstarGames,Action Adventure,Open-World,PC,No Online Multiplayer,93,8.9
Flipnote Studio,2005-2010,Nintendo,General,Application,DS,not specified,93,8.4
World Soccer Winning Eleven 7 International,2000-2005,Konami,Sports,Soccer,PlayStation2,1 to 8,93,8.8
NBA 2K2,2000-2005,Sega,Sports,Basketball,Dreamcast,not specified,93,7.3
SoulCalibur II,2000-2005,Bandai,Fighting,3D,PlayStation2,1 to 2,92,8.8
The Elder Scrolls V: Skyrim,2010-2015,BethesdaSoftworks,Action RPG,Fantasy,PlayStation3,No Online Multiplayer,92,6.5
Prince of Persia: The Sands of Time,2000-2005,Ubisoft,Action Adventure,Fantasy,Xbox,1 Player,92,7.7
Call of Duty 4: Modern Warfare,2005-2010,Activision,FPS,Modern,PC,1 to 18,92,8.5
Divinity: Original Sin II - Definitive Edition,2015-2020,LarianStudios,Action RPG,Fantasy,PlayStation4,Online Multiplayer,92,8.5
God of War III,2005-2010,SonyInteractiveEntertainment,Action Adventure,Fantasy,PlayStation3,No Online Multiplayer,92,8.8
NFL 2K3,2000-2005,Sega,Sports,Football,GameCube,1 to 4,92,8.3
SSX Tricky,2000-2005,EA,Sports,Snowboarding,PlayStation2,1 to 2,92,8.9
NHL 2002,2000-2005,EA,Sports,Ice Hockey,PlayStation2,1 to 8,92,8.5
Guitar Hero II,2005-2010,Activision,Rhythm,Music,Xbox360,1 to 2,92,8.1
Prince of Persia: The Sands of Time,2000-2005,Ubisoft,Action Adventure,Fantasy,PlayStation2,1 Player,92,8.7
Uncharted 3: Drake's Deception,2010-2015,SonyInteractiveEntertainment,Action Adventure,Linear,PlayStation3,1 to 10,92,8.4
Rock Band,2005-2010,MtvGames,Rhythm,Music,Xbox360,4  Online,92,8.2
Journey,2010-2015,TrickyPixels,Platformer,3D,PlayStation4,1 to 2,92,8.4
Bloodborne,2010-2015,Bandai,Action RPG,Fantasy,PlayStation4,1 to 5,92,8.9
Eternal Darkness: Sanity's Requiem,2000-2005,Nintendo,Action Adventure,Horror,GameCube,1 Player,92,8.8
Warcraft III: Reign of Chaos,2000-2005,Blizzard,Strategy,Fantasy,PC,not specified,92,9.1
SSX 3,2000-2005,EA,Sports,Snowboarding,GameCube,1 to 2,92,8.8
The Sims,1995-2000,EA,Simulation,VirtualLife,PC,1 Player,92,7.9
Banjo-Kazooie,1995-2000,Rare,Platformer,3D,Nintendo64,1 Player,92,9.1
Sid Meier's Gettysburg!,1995-2000,FiraxisGames,Strategy,General,PC,1 to 8,92,7.4
Rock Band 2,2005-2010,MtvGames,Rhythm,Music,Wii,4  Online,92,7.6
Forza Motorsport,2000-2005,XboxGamesStudios,Racing,GT/Street,Xbox,8  Online,92,7.6
