id;position;title;year;publisher;genre;characteristic;platform;metascore;user_avg;no_players
171;171;God of War III;2010;SonyInteractiveEntertainment;Action Adventure;Fantasy;PlayStation3;92;8.8;No Online Multiplayer
172;172;NFL 2K3;2002;Sega;Sports;Football;GameCube;92;8.3;1 to 4
173;173;SSX Tricky;2001;EA;Sports;Snowboarding;PlayStation2;92;8.9;1 to 2
174;174;NHL 2002;2001;EA;Sports;Ice Hockey;PlayStation2;92;8.5;1 to 8
175;175;Guitar Hero II;2007;Activision;Rhythm;Music;Xbox360;92;8.1;1 to 2
176;176;Prince of Persia: The Sands of Time;2003;Ubisoft;Action Adventure;Fantasy;PlayStation2;92;8.7;1 Player
177;177;Uncharted 3: Drake's Deception;2011;SonyInteractiveEntertainment;Action Adventure;Linear;PlayStation3;92;8.4;1 to 10
178;178;Rock Band;2007;MtvGames;Rhythm;Music;Xbox360;92;8.2;4  Online
179;179;Journey;2015;TrickyPixels;Platformer;3D;PlayStation4;92;8.4;1 to 2
180;180;Bloodborne;2015;Bandai;Action RPG;Fantasy;PlayStation4;92;8.9;1 to 5
181;181;Eternal Darkness: Sanity's Requiem;2002;Nintendo;Action Adventure;Horror;GameCube;92;8.8;1 Player
182;182;Warcraft III: Reign of Chaos;2002;Blizzard;Strategy;Fantasy;PC;92;9.1;not specified
183;183;SSX 3;2003;EA;Sports;Snowboarding;GameCube;92;8.8;1 to 2
184;184;The Sims;2000;EA;Simulation;VirtualLife;PC;92;7.9;1 Player
185;185;Banjo-Kazooie;1998;Rare;Platformer;3D;Nintendo64;92;9.1;1 Player
186;186;Sid Meier's Gettysburg!;1997;FiraxisGames;Strategy;General;PC;92;7.4;1 to 8
187;187;Rock Band 2;2008;MtvGames;Rhythm;Music;Wii;92;7.6;4  Online
188;188;Forza Motorsport;2005;XboxGamesStudios;Racing;GT/Street;Xbox;92;7.6;8  Online
189;189;Celeste;2018;MattMakesGamesInc.;Platformer;2D;Switch;92;8.3;No Online Multiplayer
190;190;Madden NFL 2004;2003;EA;Sports;Football;Xbox;92;8.3;1 to 4
191;191;Super Street Fighter IV;2010;Capcom;Fighting;3D;PlayStation3;92;7.8;1 to 8
192;192;World Soccer Winning Eleven 7 International;2004;EA;Sports;Soccer;PC;92;7.5;1 to 2
193;193;Advance Wars;2001;Nintendo;Strategy;Modern;GameBoyAdvance;92;9.0;1 to 4
194;194;Vagrant Story;2000;SquareEnix;Action RPG;Modern;PlayStation;92;8.5;1 Player
195;195;What Remains of Edith Finch;2017;GiantSparrow;Adventure;3D;XboxOne;92;7.4;No Online Multiplayer
196;196;Team Fortress 2;2007;Valve;FPS;Modern;PC;92;9.1;1 to 32
197;197;System Shock 2;1999;EA;Action Adventure;Sci-Fi;PC;92;9.1;1 Player
198;198;Tom Clancy's Splinter Cell: Chaos Theory;2005;Ubisoft;Action Adventure;Stealth;PC;92;8.7;No Online Multiplayer
199;199;Final Fantasy XII;2006;SquareEnix;Action RPG;Fantasy;PlayStation2;92;7.5;1 Player
200;200;Undertale;2017;Tobyfox;RPG;Fantasy;PlayStation4;92;6.5;not specified
201;201;Madden NFL 2003;2002;EA;Sports;Football;GameCube;92;8.5;1 to 4
202;202;The Witcher 3: Wild Hunt;2015;CDProjectRedStudio;Action RPG;Fantasy;PlayStation4;92;9.2;No Online Multiplayer
203;203;Super Mario World: Super Mario Advance 2;2002;Nintendo;Platformer;2D;GameBoyAdvance;92;8.9;not specified
204;204;ESPN NFL 2K5;2004;Sega;Sports;Football;Xbox;92;8.9;1 to 4
205;205;Super Smash Bros. Melee;2001;Nintendo;Fighting;3D;GameCube;92;9.1;1 to 4
206;206;Madden NFL 2003;2002;Sega;Sports;Football;Xbox;92;8.1;1 to 4
207;207;Rome: Total War;2004;Sega;Strategy;Historic;PC;92;9.1;8  Online
208;208;Forza Motorsport 3;2009;XboxGamesStudios;Racing;GT/Street;Xbox360;92;8.1; 1 to 8
209;209;Okami HD;2017;Capcom;Action Adventure;General;PC;92;7.6;No Online Multiplayer
210;210;Undertale;2015;Tobyfox;RPG;Fantasy;PC;92;8.3;No Online Multiplayer
211;211;Batman: Arkham Asylum;2009;RocksteadyStudios;Action Adventure;Fantasy;Xbox360;92;8.7;No Online Multiplayer
212;212;Super Mario Sunshine;2002;Nintendo;Platformer;3D;GameCube;92;8.6;1 Player
213;213;SSX 3;2003;EA;Sports;Snowboarding;Xbox;92;8.8;1 to 2
214;214;SoulCalibur II;2003;Bandai;Fighting;3D;Xbox;92;8.9;1 to 2
215;215;Tony Hawk's Pro Skater;1999;Activision;Sports;Skateboarding;PlayStation;92;8.9;1 to 2
